%
% Comments go after a '%' sign.
%
%
% Relation: todefine
%
%
% Attributes: 2     Instances: 10000
%
%

@relation todefine

@attribute 'dataset' String
@attribute ' labels' {1, -1}

@data
'big excited local ready first wrong famous cunning good hidden only re-written entire standard wrong hero hero shameless rotten bad sure',-1
'yucky main orange tinted orange tinted full immersion clear non speaking precious moronic fun lousy even more orange tinted least lousy orange tinted game playing entire uninteresting best best main human physical real least former real sucky boring orange tinted tedious potential main imaginary computer generated real real digital idiotic much lousy moronic cruddy philosophical better cruddy orange tinted clever suck tacular slow basic civic entertaining cruddy digital lousy good other',-1
'possible classic better marvelous bitter good generous final us the more elaborate special hazy better much high trim running more humiliating poor long much dead bad little more fox slick sudden exponential loud hyperactive good sympathetic unsympathetic least small honest true spoiled selfish materialistic obvious american offensivelyhypocritical inasmuch american huge small crucial original innocent two year old spurious older false major original re enacted only more different annoying overlong tedious ham handed crude classic inadequate collective bilious possible',-1
'good likely everyday royal late nineteenth incessant internal rebellious various secret extravagantly uniformed european austro hungarian old more expensively dressed intellectually challenged natty little white all purpose mittel european great big brown soulful monotonous unconvincing distaff austrian well buttered unlikely bottom come ons as uncommon much next excessive cynical good old american undeniable only unconcerned waited immortal historical risible ruritanian',-1
'awful bad bad enjoyable good one  oh musical soooo bad great better first last ok total last good',-1
'same lame willing willing worst young wrong impossible same better watch',-1
'stupid complete cool hot pretty raw new  ha much actual real slaughtered',-1
'great blotch iconic new all star wrong legal turn of the abusive  the local poo pooed conventional worth hammy tanked irish indian same incestuous testimony tropical long local  great famous future odd loin clothed mute bad gigantic other low lying many hapless nude gratuitous single near venomous strong probable certain ridiculous stereotypical huge aware domestic',-1
'absurd strong better premium',-1
'many strong worst tolerable less possible such insipid faithful perfect true positive perfect',-1
'full bad much awful apathetic convoluted various regular fide',-1
'absolute bad ill high open much ten modern',-1
'frozen dramatic wish fast broken bad forgettable',-1
'heavy little wild proof thecatholic broadside funny allgame',-1
'most old better direct good good flat deflated saturday  worst better worse old good good lame contrived talented different original possible awful',-1
'concept ludicrous hard feasible similar intelligent unsolved unsolved good bright easier fair enough',-1
'awful bad ear fancy italian shocking various abnormal practical foreign main full unbelievable however old genuine italian',-1
'only boring sad unable fictional interesting boring c span i unable',-1
'original richly produced mystical special decent appropriate original much couch high other insensitive bad worse than normal classic wrong fine next odd low good much better bad',-1
'willing original true favorite crummy same clear strongest original clear least soft porn impressed',-1
'positive many bad second favourite many few hammed up over acted chintzy many mis cast worthy worst much abominable self conscious nasal disappointing perfect',-1
